时间,总冷量
2025-08-24 23:00:00,7093.19
2025-07-24 08:00:00,7091.7699999999995
2025-07-09 22:00:00,7091.66
2025-07-08 04:00:00,7091.0
2025-07-24 07:00:00,7090.55
2025-08-01 09:00:00,7090.2
2025-08-08 08:00:00,7089.36
2025-08-04 02:00:00,7088.950000000001
2025-07-05 21:00:00,7087.23
2025-07-19 13:00:00,7087.21
2025-07-01 19:00:00,7086.81
2025-08-09 10:00:00,7084.88
2025-08-13 00:00:00,7084.41
2025-07-27 01:00:00,7084.28
2025-07-02 00:00:00,7083.5
2025-07-23 22:00:00,7082.16
2025-07-03 02:00:00,7082.02
2025-07-27 17:00:00,7081.13
2025-07-16 02:00:00,7079.82
2025-07-25 01:00:00,7079.14
2025-08-09 16:00:00,7079.0199999999995
2025-08-12 21:00:00,7078.45
2025-08-06 01:00:00,7076.83
2025-08-03 07:00:00,7076.66
2025-08-26 18:00:00,7076.6
2025-08-11 07:00:00,7075.08
2025-08-26 00:00:00,7074.8
2025-07-18 05:00:00,7073.46
2025-08-04 04:00:00,7071.2300000000005
2025-07-28 00:00:00,7070.83
2025-08-04 06:00:00,7069.63
2025-07-18 06:00:00,7069.599999999999
2025-07-25 00:00:00,7067.25
2025-07-20 00:00:00,7066.5599999999995
2025-07-14 18:00:00,7066.53
2025-07-26 05:00:00,7065.91
2025-08-14 09:00:00,7065.84
2025-07-26 06:00:00,7065.79
2025-07-25 19:00:00,7064.7
2025-07-06 02:00:00,7063.55
2025-07-23 23:00:00,7061.33
2025-07-22 19:00:00,7052.91
2025-08-16 15:00:00,7051.2300000000005
2025-08-26 23:00:00,7050.74
2025-08-13 09:00:00,7050.74
2025-07-31 14:00:00,7050.4800000000005
2025-07-26 20:00:00,7050.04
2025-07-23 07:00:00,7049.96
2025-08-22 19:00:00,7049.33
2025-08-11 08:00:00,7048.58
2025-07-30 05:00:00,7046.6
2025-07-20 23:00:00,7045.41
2025-07-05 20:00:00,7044.5199999999995
2025-08-04 00:00:00,7041.64
2025-07-19 04:00:00,7041.48
2025-08-09 12:00:00,7040.71
2025-07-01 20:00:00,7038.69
2025-07-17 23:00:00,7036.4800000000005
2025-07-27 03:00:00,7035.08
2025-07-19 02:00:00,7033.57
2025-07-09 03:00:00,7030.89
2025-07-23 19:00:00,7030.5
2025-08-21 21:00:00,7029.54
2025-07-24 21:00:00,7028.47
2025-07-27 22:00:00,7027.95
2025-07-20 22:00:00,7027.43
2025-08-09 15:00:00,7027.38
2025-07-21 01:00:00,7025.95
2025-07-11 09:00:00,7025.6
2025-08-04 23:00:00,7025.599999999999
2025-07-18 01:00:00,7025.42
2025-07-20 01:00:00,7023.07
2025-08-28 12:00:00,7022.929999999999
2025-08-25 08:00:00,7021.73
2025-08-25 18:00:00,7021.57
2025-07-29 18:00:00,7020.78
2025-07-09 05:00:00,7016.66
2025-07-26 04:00:00,7016.43
2025-07-08 23:00:00,7016.099999999999
2025-08-02 22:00:00,7015.13
2025-08-24 17:00:00,7014.04
2025-07-15 20:00:00,7013.97
2025-07-23 18:00:00,7013.61
2025-07-26 01:00:00,7013.31
2025-07-28 02:00:00,7011.0199999999995
2025-08-09 11:00:00,7009.91
